File,TP,FP,TN,FN,hi,TP,FP,TN,FN,lo,TP,FP,TN,FN,hi_ngram,TP,FP,TN,FN,lo_ngram
kaprekar/test_0_orig_pg_procyon/Kaprekar_Transformation.java,5,5,85,5,0.5,6,4,86,4,0.6,6,4,86,4,0.6,9,1,89,1,0.9
kaprekar/test_1_artifice_no_krakatau/Kaprekar_Transformation.java,5,5,85,5,0.5,10,0,90,0,1,5,5,85,5,0.5,9,1,89,1,0.9
kaprekar/test_1_artifice_no_procyon/Kaprekar_Transformation.java,5,5,85,5,0.5,6,4,86,4,0.6,6,4,86,4,0.6,9,1,89,1,0.9
kaprekar/test_1_artifice_pg_krakatau/Kaprekar_Transformation.java,5,5,85,5,0.5,10,0,90,0,1,5,5,85,5,0.5,9,1,89,1,0.9
kaprekar/test_1_artifice_pg_procyon/Kaprekar_Transformation.java,5,5,85,5,0.5,6,4,86,4,0.6,6,4,86,4,0.6,9,1,89,1,0.9
queens/0_orig/EightQueens.java,3,7,83,7,0.3,7,3,87,3,0.7,0,10,80,10,0,6,4,86,4,0.6
queens/1_artifice/EightQueens.java,3,7,83,7,0.3,6,4,86,4,0.6,0,10,80,10,0,8,2,88,2,0.8
queens/test_0_orig_no_krakatau/EightQueens.java,3,7,83,7,0.3,8,2,88,2,0.8,0,10,80,10,0,6,4,86,4,0.6
queens/test_0_orig_no_procyon/EightQueens.java,3,7,83,7,0.3,5,5,85,5,0.5,0,10,80,10,0,8,2,88,2,0.8
queens/test_0_orig_pg_krakatau/EightQueens.java,3,7,83,7,0.3,7,3,87,3,0.7,0,10,80,10,0,7,3,87,3,0.7
queens/test_0_orig_pg_procyon/EightQueens.java,3,7,83,7,0.3,5,5,85,5,0.5,0,10,80,10,0,8,2,88,2,0.8
queens/test_1_artifice_no_krakatau/EightQueens.java,3,7,83,7,0.3,8,2,88,2,0.8,0,10,80,10,0,6,4,86,4,0.6
queens/test_1_artifice_no_procyon/EightQueens.java,3,7,83,7,0.3,5,5,85,5,0.5,0,10,80,10,0,8,2,88,2,0.8
queens/test_1_artifice_pg_krakatau/EightQueens.java,3,7,83,7,0.3,7,3,87,3,0.7,0,10,80,10,0,7,3,87,3,0.7
queens/test_1_artifice_pg_procyon/EightQueens.java,3,7,83,7,0.3,5,5,85,5,0.5,0,10,80,10,0,8,2,88,2,0.8
SqrtAlgorithm/0_orig/SqrtAlgorithm.java,0,10,80,10,0,10,0,90,0,1,2,8,82,8,0.2,6,4,86,4,0.6
SqrtAlgorithm/1_artifice/SqrtAlgorithm.java,0,10,80,10,0,10,0,90,0,1,2,8,82,8,0.2,5,5,85,5,0.5
SqrtAlgorithm/test_0_orig_no_krakatau/SqrtAlgorithm.java,0,10,80,10,0,10,0,90,0,1,2,8,82,8,0.2,10,0,90,0,1
SqrtAlgorithm/test_0_orig_no_procyon/SqrtAlgorithm.java,0,10,80,10,0,10,0,90,0,1,2,8,82,8,0.2,10,0,90,0,1
SqrtAlgorithm/test_0_orig_pg_krakatau/SqrtAlgorithm.java,0,10,80,10,0,10,0,90,0,1,2,8,82,8,0.2,10,0,90,0,1
SqrtAlgorithm/test_0_orig_pg_procyon/SqrtAlgorithm.java,0,10,80,10,0,10,0,90,0,1,2,8,82,8,0.2,10,0,90,0,1
SqrtAlgorithm/test_1_artifice_no_krakatau/SqrtAlgorithm.java,0,10,80,10,0,10,0,90,0,1,2,8,82,8,0.2,10,0,90,0,1
SqrtAlgorithm/test_1_artifice_no_procyon/SqrtAlgorithm.java,0,10,80,10,0,10,0,90,0,1,2,8,82,8,0.2,10,0,90,0,1
SqrtAlgorithm/test_1_artifice_pg_krakatau/SqrtAlgorithm.java,0,10,80,10,0,10,0,90,0,1,2,8,82,8,0.2,10,0,90,0,1
SqrtAlgorithm/test_1_artifice_pg_procyon/SqrtAlgorithm.java,0,10,80,10,0,10,0,90,0,1,2,8,82,8,0.2,10,0,90,0,1
square/0_orig/MagicSquare.java,0,10,80,10,0,6,4,86,4,0.6,0,10,80,10,0,7,3,87,3,0.7
square/1_artifice/MagicSquare.java,0,10,80,10,0,2,8,82,8,0.2,0,10,80,10,0,10,0,90,0,1
square/test_0_orig_no_krakatau/MagicSquare.java,0,10,80,10,0,2,8,82,8,0.2,2,8,82,8,0.2,10,0,90,0,1
square/test_0_orig_no_procyon/MagicSquare.java,0,10,80,10,0,6,4,86,4,0.6,0,10,80,10,0,6,4,86,4,0.6
square/test_0_orig_pg_krakatau/MagicSquare.java,0,10,80,10,0,3,7,83,7,0.3,2,8,82,8,0.2,6,4,86,4,0.6
square/test_0_orig_pg_procyon/MagicSquare.java,0,10,80,10,0,5,5,85,5,0.5,0,10,80,10,0,7,3,87,3,0.7
square/test_1_artifice_no_krakatau/MagicSquare.java,0,10,80,10,0,2,8,82,8,0.2,2,8,82,8,0.2,10,0,90,0,1
square/test_1_artifice_no_procyon/MagicSquare.java,0,10,80,10,0,6,4,86,4,0.6,0,10,80,10,0,6,4,86,4,0.6
square/test_1_artifice_pg_krakatau/MagicSquare.java,0,10,80,10,0,3,7,83,7,0.3,2,8,82,8,0.2,6,4,86,4,0.6
square/test_1_artifice_pg_procyon/MagicSquare.java,0,10,80,10,0,5,5,85,5,0.5,0,10,80,10,0,7,3,87,3,0.7
triangle/0_orig/PointInTriangle.java,2,8,82,8,0.2,10,0,90,0,1,1,9,81,9,0.1,10,0,90,0,1
triangle/1_artifice/PointInTriangle.java,2,8,82,8,0.2,10,0,90,0,1,1,9,81,9,0.1,10,0,90,0,1
triangle/test_0_orig_no_krakatau/PointInTriangle.java,2,8,82,8,0.2,10,0,90,0,1,1,9,81,9,0.1,10,0,90,0,1
triangle/test_0_orig_no_procyon/PointInTriangle.java,2,8,82,8,0.2,10,0,90,0,1,1,9,81,9,0.1,6,4,86,4,0.6
triangle/test_0_orig_pg_krakatau/PointInTriangle.java,2,8,82,8,0.2,10,0,90,0,1,1,9,81,9,0.1,10,0,90,0,1
triangle/test_0_orig_pg_procyon/PointInTriangle.java,2,8,82,8,0.2,10,0,90,0,1,1,9,81,9,0.1,6,4,86,4,0.6
triangle/test_1_artifice_no_krakatau/PointInTriangle.java,2,8,82,8,0.2,10,0,90,0,1,1,9,81,9,0.1,10,0,90,0,1
triangle/test_1_artifice_no_procyon/PointInTriangle.java,2,8,82,8,0.2,10,0,90,0,1,1,9,81,9,0.1,6,4,86,4,0.6
triangle/test_1_artifice_pg_krakatau/PointInTriangle.java,2,8,82,8,0.2,10,0,90,0,1,1,9,81,9,0.1,10,0,90,0,1
triangle/test_1_artifice_pg_procyon/PointInTriangle.java,2,8,82,8,0.2,10,0,90,0,1,1,9,81,9,0.1,6,4,86,4,0.6
union/0_orig/Union.java,0,10,80,10,0,4,6,84,6,0.4,5,5,85,5,0.5,5,5,85,5,0.5
union/1_artifice/Union.java,0,10,80,10,0,3,7,83,7,0.3,4,6,84,6,0.4,2,8,82,8,0.2
union/test_0_orig_no_krakatau/Union.java,1,9,81,9,0.1,5,5,85,5,0.5,3,7,83,7,0.3,4,6,84,6,0.4
union/test_0_orig_no_procyon/Union.java,0,10,80,10,0,4,6,84,6,0.4,5,5,85,5,0.5,5,5,85,5,0.5
union/test_0_orig_pg_krakatau/Union.java,1,9,81,9,0.1,5,5,85,5,0.5,2,8,82,8,0.2,4,6,84,6,0.4
union/test_0_orig_pg_procyon/Union.java,0,10,80,10,0,3,7,83,7,0.3,5,5,85,5,0.5,4,6,84,6,0.4
union/test_1_artifice_no_krakatau/Union.java,1,9,81,9,0.1,5,5,85,5,0.5,2,8,82,8,0.2,4,6,84,6,0.4
union/test_1_artifice_no_procyon/Union.java,0,10,80,10,0,3,7,83,7,0.3,4,6,84,6,0.4,5,5,85,5,0.5
union/test_1_artifice_pg_krakatau/Union.java,1,9,81,9,0.1,5,5,85,5,0.5,2,8,82,8,0.2,4,6,84,6,0.4
union/test_1_artifice_pg_procyon/Union.java,0,10,80,10,0,3,7,83,7,0.3,5,5,85,5,0.5,4,6,84,6,0.4
