d,dj,djk,djkp,djkps,djkpw,djkpws,djks,djkw,djkws,djp,djps,djpw,djpws,djs,djw,djws,dk,dkp,dkps,dkpw,dkpws,dks,dkw,dkws,dp,dps,dpw,dpws,ds,dw,dws,j,jk,jkp,jkps,jkpw,jkpws,jks,jkw,jkws,jp,jps,jpw,jpws,js,jw,jws,k,kp,kps,kpw,kpws,ks,kw,kws,p,ps,pw,pws,s,w,ws,
0.3,0.3,0.3,0.3,0.2,0.5,0.1,0.2,0.1,0.1,0.3,0.3,0.6,0.5,0.3,0.5,0.5,0.3,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.3,0.3,0.9,0.7,0.3,0.7,0.5,0.3,0.3,0.3,0.3,0.1,0.3,0.1,0.1,0.3,0.3,0.5,0.3,0.3,0.3,0.1,
1,1,1,1,1,1,0.8,1,1,0.8,1,0.9,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,0.8,1,1,0.8,1,0.9,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,
1,1,1,1,0.8,1,0.4,0.8,1,0.4,1,0.8,1,0.4,0.8,1,0.4,1,1,0.8,1,0.4,0.8,1,0.4,1,0.8,0.9,0.1,0.8,1,0.2,1,1,1,0.8,1,0.4,0.8,1,0.4,1,0.8,1,0.4,0.8,1,0.4,1,1,0.8,1,0.4,0.8,1,0.4,1,0.8,1,0.2,0.8,1,0.3,
1,1,1,1,0.7,1,0.7,0.9,1,0.6,1,0.7,1,1,0.9,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7,1,0.7,0.9,1,0.6,1,0.7,1,1,0.9,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.5,0.4,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.4,0.6,0.5,0.3,0.6,0.6,0.6,0.5,0.6,0.5,0.4,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.2,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.4,
0.6,0.6,0.6,0.6,0.6,0.8,0.7,0.6,0.8,0.4,0.6,0.6,0.6,0.4,0.6,0.6,0.4,0.8,0.8,0.6,0.8,0.5,0.6,0.8,0.3,0.6,0.6,0.6,0.4,0.6,0.6,0.4,0.6,0.6,0.6,0.6,0.8,0.8,0.6,0.8,0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.4,0.7,0.6,0.6,0.8,0.8,0.6,0.8,0.4,0.6,0.6,0.6,0.4,0.6,0.6,0.4,
0.7,0.7,0.8,0.8,0.7,0.8,0.6,0.7,0.8,0.4,0.7,0.6,0.8,0.6,0.6,0.8,0.5,0.8,0.8,0.7,0.8,0.6,0.7,0.8,0.3,0.7,0.6,0.8,0.6,0.6,0.8,0.4,0.7,0.8,0.8,0.7,0.8,0.8,0.7,0.8,0.6,0.7,0.6,0.8,0.6,0.6,0.7,0.6,0.8,0.8,0.7,0.8,0.8,0.7,0.8,0.6,0.7,0.7,0.8,0.6,0.6,0.8,0.6,
0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.5,0.4,0.1,0.1,0.5,0.5,0.1,0.5,0.5,0.1,0.1,0.1,0.5,0.4,0.1,0.5,0.4,0.1,0.1,0.5,0.5,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.5,0.7,0.1,0.5,0.6,0.1,0.1,0.5,0.7,0.1,0.5,0.7,0.1,0.1,0.1,0.5,0.6,0.1,0.5,0.6,0.1,0.1,0.5,0.7,0.1,0.5,0.6,
0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.6,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.6,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,
0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.6,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.6,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,
1,1,1,1,0.8,1,0.4,0.8,1,0.4,1,0.5,1,0.1,0.6,1,0.2,1,1,0.8,1,0.4,0.8,1,0.4,1,0.6,0.9,0.1,0.6,0.9,0.2,1,1,1,0.8,1,0.4,0.8,1,0.4,1,0.5,1,0.2,0.6,1,0.2,1,1,0.8,1,0.4,0.8,1,0.4,1,0.6,0.9,0.1,0.8,1,0.2,
0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.4,0.2,0,0.4,0.4,0.3,0.2,0.4,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.3,0.2,0.4,0.2,0.1,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.4,0.2,
0.4,0.4,0.4,0.4,0.4,1,0.4,0.4,1,0.5,0.4,0.4,1,0.4,0.4,1,0.5,0.4,0.4,0.4,1,0.4,0.4,1,0.4,0.4,0.4,1,0.4,0.4,1,0.4,0.4,0.4,0.4,0.4,1,0.5,0.4,1,0.5,0.4,0.4,1,0.5,0.4,1,0.5,0.4,0.4,0.4,1,0.5,0.4,1,0.4,0.4,0.4,1,0.5,0.4,1,0.4,
0.6,0.5,0.6,0.6,0.4,1,0.5,0.4,1,0.5,0.5,0.4,0.8,0.5,0.4,0.8,0.5,0.6,0.6,0.4,0.8,0.5,0.4,0.8,0.5,0.6,0.4,0.8,0.5,0.4,0.8,0.5,0.6,0.6,0.6,0.4,1,0.8,0.4,1,0.8,0.6,0.4,1,0.5,0.4,1,0.5,0.6,0.6,0.4,1,0.8,0.4,1,0.8,0.6,0.4,1,0.5,0.4,1,0.5,
1,1,1,1,1,0.4,0.3,1,0.6,0.4,1,1,0.6,0.5,1,0.6,0.5,1,1,1,0.4,0.2,1,0.2,0.2,1,1,0.6,0.2,1,0.2,0.2,1,1,1,1,0.4,0.3,1,0.6,0.4,1,1,0.6,0.5,1,0.6,0.5,1,1,1,0.4,0.2,1,0.2,0.2,1,1,0.6,0.2,1,0.2,0.2,
0.4,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.8,0.4,0.4,0.4,1,0.4,0.4,0.8,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.8,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,1,0.9,0.4,1,0.9,0.4,0.4,1,0.9,0.4,1,0.9,0.4,0.4,0.4,1,0.9,0.4,1,0.9,0.4,0.4,1,0.9,0.4,1,0.9,
0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.8,0.4,0.6,0.6,0.7,0.5,0.6,0.7,0.4,0.6,0.6,0.6,0.8,0.5,0.6,0.8,0.4,0.6,0.6,0.7,0.4,0.6,0.7,0.4,0.6,0.6,0.6,0.6,0.8,0.8,0.6,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.8,0.7,0.6,0.8,0.5,0.6,0.6,0.7,0.6,0.6,0.7,0.4,
1,1,1,1,1,1,0.6,1,0.6,0.4,1,1,0.8,0.8,1,0.8,0.6,1,1,1,0.6,0.6,1,0.4,0.2,1,1,0.8,0.6,1,0.6,0.4,1,1,1,1,1,0.6,1,0.6,0.4,1,1,0.8,0.8,1,0.8,0.6,1,1,1,0.6,0.6,1,0.4,0.2,1,1,0.8,0.6,1,0.6,0.4,
0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.5,0.5,0.1,0.1,0.5,0.1,0.1,0.5,0.5,0.1,0.1,0.1,1,0.6,0.1,1,1,0.1,0.1,1,0.6,0.1,1,1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.5,0.4,0.1,0.1,0.5,0.1,0.1,0.5,0.5,0.1,0.1,0.1,1,0.6,0.1,1,1,0.1,0.1,1,0.6,0.1,1,1,
0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.8,0.4,0.6,0.6,0.7,0.5,0.6,0.7,0.4,0.6,0.6,0.6,0.8,0.5,0.6,0.8,0.4,0.6,0.6,0.7,0.4,0.6,0.7,0.4,0.6,0.6,0.6,0.6,0.8,0.8,0.6,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.8,0.7,0.6,0.8,0.5,0.6,0.6,0.7,0.6,0.6,0.7,0.4,
0.4,0.4,0.4,0.4,0.4,1,0.4,0.4,1,0.5,0.4,0.4,1,0.4,0.4,1,0.5,0.4,0.4,0.4,1,0.4,0.4,1,0.4,0.4,0.4,1,0.4,0.4,1,0.4,0.4,0.4,0.4,0.4,1,0.5,0.4,1,0.5,0.4,0.4,1,0.5,0.4,1,0.5,0.4,0.4,0.4,1,0.5,0.4,1,0.4,0.4,0.4,1,0.5,0.4,1,0.4,
0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.5,0.6,0.6,0.5,0.6,0.4,0.6,0.5,0.6,0.6,0.5,0.6,0.4,0.4,0.6,0.5,0.6,0.6,0.5,0.6,0.4,0.6,0.5,0.6,0.6,0.5,0.6,
1,1,1,1,1,0.6,0.2,1,0.6,0.4,1,1,0.9,0.4,1,0.9,0.5,1,1,1,0.8,0.6,1,1,0.6,1,1,1,0.6,1,1,0.9,1,1,1,1,0.6,0.2,1,0.6,0.4,1,1,0.9,0.4,1,0.9,0.5,1,1,1,0.8,0.6,1,1,0.6,1,1,1,0.6,1,1,1,
1,0.8,0.8,0.6,0.4,0.5,0.4,0.6,0.5,0.4,0.6,0.4,0.5,0.4,0.4,0.5,0.4,1,1,0.9,0.5,0.4,1,0.5,0.4,1,0.9,0.5,0.4,1,0.5,0.4,0.8,0.8,0.6,0.4,0.5,0.4,0.4,0.5,0.4,0.6,0.4,0.5,0.4,0.4,0.5,0.4,1,1,0.9,0.5,0.4,1,0.5,0.4,1,0.9,0.5,0.4,1,0.5,0.4,
0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.5,0.6,0.6,0.5,0.6,0.4,0.6,0.5,0.6,0.6,0.5,0.6,0.4,0.4,0.6,0.5,0.6,0.6,0.5,0.6,0.4,0.6,0.5,0.6,0.6,0.5,0.6,
0.1,0.1,0.1,0.1,0.1,0.8,0.5,0.1,0.8,0.5,0.1,0.1,1,0.1,0.1,1,0.4,0.1,0.1,0.1,0.8,0.5,0.1,0.8,0.5,0.1,0.1,0.8,0.5,0.1,0.8,0.5,0.1,0.1,0.1,0.1,1,0.9,0.1,1,0.9,0.1,0.1,1,0.9,0.1,1,0.9,0.1,0.1,0.1,1,0.9,0.1,1,0.9,0.1,0.1,1,1,0.1,1,0.9,
0.6,0.6,0.6,0.6,0.6,0.5,0.4,0.6,0.4,0.4,0.6,0.6,0.4,0.4,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.4,0.6,0.4,0.2,0.6,0.6,0.4,0.4,0.6,0.4,0.4,0.6,0.6,0.6,0.6,0.5,0.4,0.6,0.4,0.4,0.6,0.6,0.5,0.4,0.6,0.5,0.4,0.6,0.6,0.6,0.4,0.4,0.6,0.4,0.4,0.6,0.6,0.5,0.4,0.6,0.4,0.4,
0.6,0.6,0.6,0.6,0.6,0.7,0.5,0.6,0.7,0.4,0.6,0.6,0.7,0.4,0.6,0.7,0.2,0.6,0.6,0.6,0.7,0.4,0.6,0.7,0.4,0.6,0.6,0.7,0.2,0.6,0.7,0.2,0.6,0.6,0.6,0.6,0.7,0.5,0.6,0.7,0.4,0.6,0.6,0.7,0.5,0.6,0.7,0.3,0.6,0.6,0.6,0.8,0.4,0.6,0.7,0.4,0.6,0.6,0.7,0.5,0.6,0.7,0.2,
0.9,0.9,0.9,0.9,0.6,1,0.6,0.6,1,0.6,0.9,0.6,1,0.6,0.6,1,0.6,0.9,0.9,0.6,1,0.6,0.8,0.9,0.6,0.9,0.6,1,0.6,0.6,0.9,0.6,0.9,0.9,0.9,0.6,1,0.6,0.6,1,0.6,0.9,0.6,1,0.6,0.6,1,0.6,0.9,0.9,0.6,1,0.6,0.8,0.9,0.6,0.9,0.6,1,0.6,0.6,0.9,0.6,
0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.4,0.6,0.4,0.5,0.4,0.3,0.2,0.4,0.4,0.2,0.5,0.5,0.4,0.4,0.2,0.4,0.2,0.2,0.5,0.4,0.2,0.2,0.4,0.2,0.2,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.6,0.4,0.5,0.4,0.3,0.2,0.4,0.4,0.2,0.5,0.5,0.4,0.4,0.2,0.4,0.2,0.2,0.5,0.4,0.2,0.2,0.4,0.2,0.2,
1,1,1,1,1,0.6,0.2,1,0.6,0.4,1,1,0.9,0.5,1,0.9,0.4,1,1,1,0.8,0.6,1,1,0.6,1,1,1,0.6,1,1,0.6,1,1,1,1,0.6,0.2,1,0.6,0.4,1,1,0.9,0.5,1,0.9,0.5,1,1,1,0.8,0.6,1,1,0.6,1,1,1,0.6,1,1,0.6,
1,1,1,1,1,0.5,0.1,1,0.5,0.5,1,1,0.6,0.1,1,0.6,0.5,1,1,1,1,0.6,1,1,1,1,1,1,0.6,1,1,1,1,1,1,1,0.5,0.1,1,0.5,0.5,1,1,0.6,0.1,1,0.6,0.5,1,1,1,1,0.6,1,1,1,1,1,1,0.6,1,1,1,
0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.2,0.4,0.4,0.4,0.3,0.4,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.3,0.4,0.4,0.2,
0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.5,0.6,0.6,0.5,0.6,0.4,0.6,0.5,0.6,0.6,0.5,0.6,0.4,0.4,0.6,0.5,0.6,0.6,0.5,0.6,0.4,0.6,0.5,0.6,0.6,0.5,0.6,
1,0.6,0.6,0.6,0.4,0.5,0.4,0.5,0.5,0.4,0.6,0.4,0.5,0.4,0.5,0.5,0.4,1,1,0.8,0.5,0.4,1,0.5,0.4,1,0.8,0.5,0.4,1,0.5,0.4,0.6,0.6,0.6,0.4,0.5,0.4,0.4,0.5,0.4,0.6,0.4,0.5,0.4,0.4,0.5,0.4,1,1,0.8,0.5,0.4,1,0.5,0.4,1,0.8,0.5,0.4,1,0.5,0.4,
1,0.8,0.8,0.6,0.4,0.5,0.4,0.6,0.5,0.4,0.6,0.4,0.5,0.4,0.4,0.5,0.4,1,1,0.9,0.5,0.4,1,0.5,0.4,1,1,0.5,0.4,1,0.5,0.4,0.8,0.8,0.6,0.4,0.5,0.4,0.4,0.5,0.4,0.6,0.4,0.5,0.4,0.4,0.5,0.4,1,1,0.9,0.5,0.4,1,0.5,0.4,1,1,0.5,0.4,1,0.5,0.4,
0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.4,0.2,0,0.4,0.4,0.3,0.2,0.4,0.2,0.1,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.3,0.2,0.4,0.2,0.1,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.4,0.2,
1,1,1,1,1,0.6,0.2,1,0.6,0.4,1,1,0.9,0.5,1,0.9,0.4,1,1,1,0.8,0.6,1,1,0.6,1,1,1,0.6,1,1,0.6,1,1,1,1,0.6,0.2,1,0.6,0.4,1,1,0.9,0.5,1,0.9,0.5,1,1,1,0.8,0.6,1,1,0.6,1,1,1,0.6,1,1,0.6,
1,1,1,1,0.9,1,0.8,0.9,1,0.8,1,0.9,1,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,0.9,1,0.8,0.9,1,0.8,1,0.9,1,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,
0.6,0.6,0.6,0.6,0.5,0.3,0.5,0.5,0.3,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.8,0.8,0.6,0.5,0.5,0.6,0.3,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,
0.639,0.622,0.627,0.618,0.557,0.704,0.496,0.569,0.667,0.465,0.616,0.547,0.713,0.503,0.555,0.691,0.496,0.647,0.639,0.587,0.69,0.505,0.598,0.659,0.457,0.638,0.577,0.703,0.5,0.584,0.665,0.486,0.622,0.634,0.626,0.572,0.738,0.563,0.577,0.706,0.537,0.618,0.559,0.751,0.57,0.565,0.739,0.552,0.65,0.641,0.599,0.737,0.577,0.61,0.697,0.521,0.635,0.589,0.749,0.558,0.595,0.717,0.538,0.751
